year,basin,region,no,name,datetime,intensity,lat,lon
2005,NA,NA,17,ZETA,2006-01-01:00:00:00,TS,25.6,-38.3
2005,NA,NA,18,ZETA,2006-01-01:03:00:00,TS,25.5075,-38.3575
2005,NA,NA,19,ZETA,2006-01-01:06:00:00,TS,25.4,-38.4
2005,NA,NA,20,ZETA,2006-01-01:09:00:00,TS,25.3,-38.45
2005,NA,NA,21,ZETA,2006-01-01:12:00:00,TS,25.2,-38.5
2005,NA,NA,22,ZETA,2006-01-01:15:00:00,TS,25.115,-38.5349
2005,NA,NA,23,ZETA,2006-01-01:18:00:00,TS,25,-38.6
2005,NA,NA,24,ZETA,2006-01-01:21:00:00,TS,24.8073,-38.6974
2005,NA,NA,25,ZETA,2006-01-02:00:00:00,TS,24.6,-38.9
2005,NA,NA,26,ZETA,2006-01-02:03:00:00,TS,24.4577,-39.2699
2005,NA,NA,27,ZETA,2006-01-02:06:00:00,TS,24.3,-39.7
2005,NA,NA,28,ZETA,2006-01-02:09:00:00,TS,24.0425,-40.0802
2005,NA,NA,29,ZETA,2006-01-02:12:00:00,TS,23.8,-40.4
2005,NA,NA,30,ZETA,2006-01-02:15:00:00,TS,23.6774,-40.6373
2005,NA,NA,31,ZETA,2006-01-02:18:00:00,TS,23.6,-40.8
2005,NA,NA,32,ZETA,2006-01-02:21:00:00,TS,23.4924,-40.9075
2005,NA,NA,33,ZETA,2006-01-03:00:00:00,TS,23.4,-41
2005,NA,NA,34,ZETA,2006-01-03:03:00:00,TS,23.3425,-41.1425
2005,NA,NA,35,ZETA,2006-01-03:06:00:00,TS,23.3,-41.3
2005,NA,NA,36,ZETA,2006-01-03:09:00:00,TS,23.2574,-41.4349
2005,NA,NA,37,ZETA,2006-01-03:12:00:00,TS,23.2,-41.6
2005,NA,NA,38,ZETA,2006-01-03:15:00:00,TS,23.1226,-41.85
2005,NA,NA,39,ZETA,2006-01-03:18:00:00,TS,23,-42.1
2005,NA,NA,40,ZETA,2006-01-03:21:00:00,TS,22.8224,-42.2499
2005,NA,NA,41,ZETA,2006-01-04:00:00:00,TS,22.6,-42.4
2005,NA,NA,42,ZETA,2006-01-04:03:00:00,TS,22.3349,-42.6201
2005,NA,NA,43,ZETA,2006-01-04:06:00:00,TS,22.1,-42.9
2005,NA,NA,44,ZETA,2006-01-04:09:00:00,TS,21.9773,-43.2123
2005,NA,NA,45,ZETA,2006-01-04:12:00:00,TS,21.9,-43.6
2005,NA,NA,46,ZETA,2006-01-04:15:00:00,TS,21.785,-44.0776
2005,NA,NA,47,ZETA,2006-01-04:18:00:00,TS,21.7,-44.6
2005,NA,NA,48,ZETA,2006-01-04:21:00:00,TS,21.6699,-45.1
2005,NA,NA,49,ZETA,2006-01-05:00:00:00,TS,21.7,-45.6
2005,NA,NA,50,ZETA,2006-01-05:03:00:00,TS,21.7775,-46.1224
2005,NA,NA,51,ZETA,2006-01-05:06:00:00,TS,21.9,-46.6
2005,NA,NA,52,ZETA,2006-01-05:09:00:00,TS,22.0273,-46.9801
2005,NA,NA,53,ZETA,2006-01-05:12:00:00,TS,22.2,-47.3
2005,NA,NA,54,ZETA,2006-01-05:15:00:00,TS,22.4499,-47.6149
2005,NA,NA,55,ZETA,2006-01-05:18:00:00,TS,22.7,-47.9
2005,NA,NA,56,ZETA,2006-01-05:21:00:00,TS,22.8799,-48.1501
2005,NA,NA,57,ZETA,2006-01-06:00:00:00,TS,23,-48.4
2005,NA,NA,58,ZETA,2006-01-06:03:00:00,TS,23.0725,-48.6926
2005,NA,NA,59,ZETA,2006-01-06:06:00:00,TS,23.1,-49
2005,NA,NA,60,ZETA,2006-01-06:09:00:00,TS,23.0924,-49.3001
2005,NA,NA,61,ZETA,2006-01-06:12:00:00,TS,23.1,-49.6
2005,NA,NA,62,ZETA,2006-01-06:15:00:00,TS,23.1696,-49.8552
2005,NA,NA,63,ZETA,2006-01-06:18:00:00,DS,23.3,-50.2
2005,NA,NA,64,ZETA,2006-01-06:21:00:00,DS,23.4776,-50.7475
2005,NA,NA,65,ZETA,2006-01-07:00:00:00,DS,23.7,-51.4
2005,NA,NA,66,ZETA,2006-01-07:03:00:00,DS,23.9346,-52.0278
2005,NA,NA,67,ZETA,2006-01-07:06:00:00,DS,24.2,-52.7
2005,NA,NA,68,ZETA,2006-01-07:09:00:00,DS,24.4249,-53.4364
2005,NA,NA,69,ZETA,2006-01-07:12:00:00,DS,24.8,-54.2
2005,NA,NA,70,ZETA,2006-01-07:15:00:00,DS,25.4631,-54.9521
2005,NA,NA,71,ZETA,2006-01-07:18:00:00,DS,26.3,-55.7
2006,SP,MM,1,TAM,2006-01-06:18:00:00,NR,-15,181.5
2006,SP,MM,2,TAM,2006-01-06:21:00:00,NR,-15,181.26
2006,SP,MM,3,TAM,2006-01-07:00:00:00,NR,-15,181
2006,SP,MM,4,TAM,2006-01-07:03:00:00,NR,-15,180.707
2006,SP,MM,5,TAM,2006-01-07:06:00:00,NR,-15,180.4
2006,SP,MM,6,TAM,2006-01-07:09:00:00,NR,-15,180.085
2006,SP,MM,7,TAM,2006-01-07:12:00:00,NR,-15,179.8
2006,SP,MM,8,TAM,2006-01-07:15:00:00,NR,-14.9999,179.6
