year,basin,region,no,name,datetime,intensity,lat,lon
2012,SI,MM,41,BENILDE,2012-01-01:00:00:00,TS,-16.45,75.25
2012,SI,MM,42,BENILDE,2012-01-01:03:00:00,TS,-16.7963,75.0888
2012,SI,MM,43,BENILDE,2012-01-01:06:00:00,TS,-17.15,74.95
2012,SI,MM,44,BENILDE,2012-01-01:09:00:00,TS,-17.46,74.8748
2012,SI,MM,45,BENILDE,2012-01-01:12:00:00,TS,-17.8,74.8
2012,SI,MM,46,BENILDE,2012-01-01:15:00:00,TS,-18.265,74.68
2012,SI,MM,47,BENILDE,2012-01-01:18:00:00,TS,-18.7,74.5
2012,SI,MM,48,BENILDE,2012-01-01:21:00:00,TS,-18.9439,74.2212
2012,SI,MM,49,BENILDE,2012-01-02:00:00:00,TS,-19.15,73.95
2012,SI,MM,50,BENILDE,2012-01-02:03:00:00,TS,-19.4637,73.7949
2012,SI,MM,51,BENILDE,2012-01-02:06:00:00,TS,-19.8,73.7
2012,SI,MM,52,BENILDE,2012-01-02:09:00:00,TS,-20.1075,73.6212
2012,SI,MM,53,BENILDE,2012-01-02:12:00:00,TS,-20.4,73.55
2012,SI,MM,54,BENILDE,2012-01-02:15:00:00,TS,-20.69,73.4538
2012,SI,MM,55,BENILDE,2012-01-02:18:00:00,TS,-20.95,73.35
2012,SI,MM,56,BENILDE,2012-01-02:21:00:00,TS,-21.1725,73.2425
2012,SI,MM,57,BENILDE,2012-01-03:00:00:00,TS,-21.35,73.15
2012,SI,MM,58,BENILDE,2012-01-03:03:00:00,TS,-21.4825,73.0588
2012,SI,MM,59,BENILDE,2012-01-03:06:00:00,TS,-21.6,73.05
2012,SI,MM,60,BENILDE,2012-01-03:09:00:00,TS,-21.7876,73.2098
2012,SI,MM,61,BENILDE,2012-01-03:12:00:00,TS,-21.9,73.4
2012,SI,MM,62,BENILDE,2012-01-03:15:00:00,TS,-21.7974,73.4538
2012,SI,MM,63,BENILDE,2012-01-03:18:00:00,TS,-21.65,73.5
2012,SI,MM,64,BENILDE,2012-01-03:21:00:00,TS,-21.6161,73.5901
2012,SI,MM,65,BENILDE,2012-01-04:00:00:00,TS,-21.65,73.8
2012,SI,MM,66,BENILDE,2012-01-04:03:00:00,TS,-21.6642,74.2391
2012,SI,MM,67,BENILDE,2012-01-04:06:00:00,ET,-21.85,74.7
2012,SI,MM,68,BENILDE,2012-01-04:09:00:00,ET,-22.4174,75.0069
2012,SI,MM,69,BENILDE,2012-01-04:12:00:00,ET,-23,75.15
2012,SI,MM,70,BENILDE,2012-01-04:15:00:00,ET,-23.2325,75.1029
2012,SI,MM,71,BENILDE,2012-01-04:18:00:00,ET,-23.3,74.95
2012,SI,MM,72,BENILDE,2012-01-04:21:00:00,ET,-23.295,74.8024
2012,SI,MM,73,BENILDE,2012-01-05:00:00:00,ET,-23.3571,74.7143
2012,SI,MM,74,BENILDE,2012-01-05:03:00:00,ET,-23.6375,74.7246
2012,SI,MM,75,BENILDE,2012-01-05:06:00:00,ET,-24.02,74.68
2012,SI,MM,76,BENILDE,2012-01-05:09:00:00,ET,-24.4149,74.3951
2012,SI,MM,77,BENILDE,2012-01-05:12:00:00,ET,-24.8,74.1
2012,SI,MM,78,BENILDE,2012-01-05:15:00:00,ET,-25.0303,73.685
2012,SI,MM,79,BENILDE,2012-01-05:18:00:00,ET,-25.2,73.3
2012,SI,MM,80,BENILDE,2012-01-05:21:00:00,ET,-25.3623,73.1121
2012,SI,MM,81,BENILDE,2012-01-06:00:00:00,ET,-25.6,73
2012,SI,MM,82,BENILDE,2012-01-06:03:00:00,ET,-26.0575,72.8353
2012,SI,MM,83,BENILDE,2012-01-06:06:00:00,ET,-26.5,72.7
2012,SI,MM,84,BENILDE,2012-01-06:09:00:00,ET,-26.725,72.6423
2012,SI,MM,85,BENILDE,2012-01-06:12:00:00,ET,-26.8,72.6
