year,basin,region,no,name,time,intensity,lat,lon
2020,SP,MM,59,SARAI,2020-01-01:00:00:00,TS,-20.4,191.1
2020,SP,MM,60,SARAI,2020-01-01:03:00:00,TS,-20.4769,192.258
2020,SP,MM,61,SARAI,2020-01-01:06:00:00,SS,-20.6,193.4
2020,SP,MM,62,SARAI,2020-01-01:09:00:00,SS,-20.7311,194.479
2020,SP,MM,63,SARAI,2020-01-01:12:00:00,SS,-21,195.6
2020,SP,MM,64,SARAI,2020-01-01:15:00:00,SS,-21.4895,196.862
2020,SP,MM,65,SARAI,2020-01-01:18:00:00,SS,-22.1,198.2
2020,SP,MM,66,SARAI,2020-01-01:21:00:00,SS,-22.662,199.559
2020,SP,MM,67,SARAI,2020-01-02:00:00:00,SS,-23.3,200.9
2020,SP,MM,68,SARAI,2020-01-02:03:00:00,SS,-24.0001,202.124
2020,SP,MM,69,SARAI,2020-01-02:06:00:00,SS,-24.9,203.4
2020,SP,MM,70,SARAI,2020-01-02:09:00:00,SS,-26.0747,204.875
2020,SP,MM,71,SARAI,2020-01-02:12:00:00,ET,-27.4,206.5
2020,SI,WA,1,CLAUDIA,2020-01-04:18:00:00,NR,-8.2,133.2
2020,SI,WA,2,CLAUDIA,2020-01-04:21:00:00,NR,-8.44502,133.445
2020,SI,WA,3,CLAUDIA,2020-01-05:00:00:00,NR,-8.6,133.7
2020,SI,WA,4,CLAUDIA,2020-01-05:03:00:00,NR,-8.62751,133.965
2020,SI,WA,5,CLAUDIA,2020-01-05:06:00:00,NR,-8.84,134.46
2020,SI,WA,6,CLAUDIA,2020-01-05:09:00:00,NR,-9.18246,134.778
2020,SP,EA,7,CLAUDIA,2020-01-05:12:00:00,NR,-9.44286,135.057
2020,SP,EA,8,CLAUDIA,2020-01-05:15:00:00,NR,-9.51128,135.366
2020,SP,EA,9,CLAUDIA,2020-01-05:18:00:00,NR,-9.55,135.6
2020,SP,EA,10,CLAUDIA,2020-01-05:21:00:00,NR,-9.67499,135.818
2020,SP,EA,11,CLAUDIA,2020-01-06:00:00:00,NR,-9.8,136.02
2020,SP,EA,12,CLAUDIA,2020-01-06:03:00:00,NR,-9.85748,136.204
2020,SP,EA,13,CLAUDIA,2020-01-06:06:00:00,NR,-9.9,136.36
2020,SP,EA,14,CLAUDIA,2020-01-06:09:00:00,NR,-9.96,136.487
2020,SP,EA,15,CLAUDIA,2020-01-06:12:00:00,NR,-10.05,136.6
2020,SP,EA,16,CLAUDIA,2020-01-06:15:00:00,NR,-10.1785,136.679
2020,SP,EA,17,CLAUDIA,2020-01-06:18:00:00,TS,-10.35,136.85
2020,SP,EA,18,CLAUDIA,2020-01-06:21:00:00,TS,-10.5629,137.308
2020,SP,EA,19,CLAUDIA,2020-01-07:00:00:00,TS,-10.785,137.7
2020,SP,EA,20,CLAUDIA,2020-01-07:03:00:00,TS,-10.9812,137.716
2020,SP,EA,21,CLAUDIA,2020-01-07:06:00:00,TS,-11.15,137.5
2020,SP,EA,22,CLAUDIA,2020-01-07:09:00:00,TS,-11.31,137.165
2020,SP,EA,23,CLAUDIA,2020-01-07:12:00:00,TS,-11.4,136.8
2020,SP,EA,24,CLAUDIA,2020-01-07:15:00:00,TS,-11.3761,136.589
2020,SP,EA,25,CLAUDIA,2020-01-07:18:00:00,TS,-11.3,136.4
2020,SP,EA,26,CLAUDIA,2020-01-07:21:00:00,TS,-11.2313,136.136
2020,SP,EA,27,CLAUDIA,2020-01-08:00:00:00,TS,-11.2,135.85
2020,SP,EA,28,CLAUDIA,2020-01-08:03:00:00,TS,-11.2461,135.559
2020,SP,EA,29,CLAUDIA,2020-01-08:06:00:00,TS,-11.35,135.3
2020,SP,EA,30,CLAUDIA,2020-01-08:09:00:00,TS,-11.4838,135.131
2020,SI,WA,31,CLAUDIA,2020-01-08:12:00:00,TS,-11.635,134.96
2020,SI,WA,32,CLAUDIA,2020-01-08:15:00:00,TS,-11.7814,134.681
2020,SI,WA,33,CLAUDIA,2020-01-08:18:00:00,TS,-11.9,134.4
2020,SI,WA,34,CLAUDIA,2020-01-08:21:00:00,TS,-11.9499,134.217
2020,SI,WA,35,CLAUDIA,2020-01-09:00:00:00,TS,-12,134.05
2020,SI,WA,36,CLAUDIA,2020-01-09:03:00:00,TS,-12.1242,133.844
2020,SI,WA,37,CLAUDIA,2020-01-09:06:00:00,NR,-12.265,133.595
2020,SI,WA,38,CLAUDIA,2020-01-09:09:00:00,NR,-12.3862,133.282
2020,SI,WA,39,CLAUDIA,2020-01-09:12:00:00,NR,-12.475,132.955
2020,SI,WA,40,CLAUDIA,2020-01-09:15:00:00,NR,-12.5175,132.689
2020,SI,WA,41,CLAUDIA,2020-01-09:18:00:00,NR,-12.525,132.405
2020,SI,WA,42,CLAUDIA,2020-01-09:21:00:00,NR,-12.5147,132.062
2020,SI,WA,43,CLAUDIA,2020-01-10:00:00:00,NR,-12.5,131.65
2020,SI,WA,44,CLAUDIA,2020-01-10:03:00:00,NR,-12.4974,131.141
2020,SI,WA,45,CLAUDIA,2020-01-10:06:00:00,TS,-12.52,130.645
2020,SI,WA,46,CLAUDIA,2020-01-10:09:00:00,TS,-12.5837,130.282
2020,SI,WA,47,CLAUDIA,2020-01-10:12:00:00,TS,-12.665,129.975
2020,SI,WA,48,CLAUDIA,2020-01-10:15:00:00,TS,-12.7357,129.683
2020,SI,WA,49,CLAUDIA,2020-01-10:18:00:00,TS,-12.8,129.35
2020,SI,WA,50,CLAUDIA,2020-01-10:21:00:00,TS,-12.8488,128.922
2020,SI,WA,51,CLAUDIA,2020-01-11:00:00:00,TS,-12.9,128.4
2020,SI,WA,52,CLAUDIA,2020-01-11:03:00:00,TS,-12.9752,127.768
2020,SI,WA,53,CLAUDIA,2020-01-11:06:00:00,TS,-13.05,127.15
2020,SI,WA,54,CLAUDIA,2020-01-11:09:00:00,TS,-13.0823,126.719
2020,SI,WA,55,CLAUDIA,2020-01-11:12:00:00,TS,-13.15,126.3
2020,SI,WA,56,CLAUDIA,2020-01-11:15:00:00,TS,-13.3137,125.759
2020,SI,WA,57,CLAUDIA,2020-01-11:18:00:00,TS,-13.5,125.15
2020,SI,WA,58,CLAUDIA,2020-01-11:21:00:00,TS,-13.6784,124.338
2020,SI,WA,59,CLAUDIA,2020-01-12:00:00:00,TS,-13.85,123.5
2020,SI,WA,60,CLAUDIA,2020-01-12:03:00:00,TS,-13.9708,122.894
2020,SI,WA,61,CLAUDIA,2020-01-12:06:00:00,TS,-14.15,122.3
